iter	MAE
0	4832203.576
1	4712861.188
2	4597657.316
3	4479471.221
4	4364966.654
5	4260424.477
6	4152697.71
7	4047571.1
8	3950300.967
9	3857889.584
10	3765371.947
11	3676592.133
12	3590026.755
13	3507858.537
14	3424967.877
15	3346769.789
16	3271027.059
17	3199663.987
18	3128492.545
19	3062776.906
20	2997999.629
21	2934009.072
22	2863780.753
23	2796239.616
24	2732241.045
25	2667590.849
26	2604210.675
27	2545150.347
28	2484624.876
29	2430018.849
30	2373782.505
31	2318192.006
32	2266217.951
33	2217699.7
34	2165733.746
35	2117849.241
36	2071080.589
37	2026653.216338	1980752.021339	1938833.258440	1897738.566441	1860828.646442	1823483.672443	1786457.874444	1753831.324545	1718454.294646	1684532.514747	1653499.314848	1619776.674949	1588604.03550	1561875.425151	1535654.345252	1510951.585353	1485851.545454	1467906.45555	1443315.235556	1419581.633557	1396022.069558	1372537.721559	1349397.155660	1327620.904661	1308577.761662	1289326.883663	1271984.034664	1253476.323665	1238404.562666	1223432.729667	1207704.131668	1191686.453669	1177929.446770	1163939.958771	1149305.882772	1135109.832773	1121537.881774	1108980.899775	1097805.939776	1086789.436777	1075799.308778	1064918.678779	1054171.622880	1044861.551881	1035439.163882	1027781.818383	1018997.928484	1010367.6
85	1003308.713
86	995215.8488887	987121.3279888	979709.5002889	972635.6239990	965241.0449191	958626.5692	92	951839.4893	93	945795.5494	94	939944.189595	934801.7789696	929067.555997	923536.973
98	918255.8272
99	913623.5939
100	909023.424
101	904350.3665
102	899528.4284
103	895497.399
104	891054.7381
105	887347.2288
106	884017.2246
107	879819.6995
108	875737.0816
109	871991.3123
110	867952.2614
111	864667.5919
112	861459.9603
113	858595.4611
114	856386.4046
115	853812.9926
116	851307.7933
117	848232.4154
118	845731.8507
119	843719.2059
120	840647.1011
121	837768.9998
122	835058.4532
123	832247.0827
124	830243.3588
125	828009.9745
126	826635.6095
127	824503.9313
128	822421.7855
129	819925.9982
130	817662.422
131	815594.6463
132	814101.3753
133	811753.6684
134	809833.049
135	807871.1349
136	806557.4697
137	804726.0691
138	803407.0517
139	802292.5811
140	800298.1333
141	798603.1684
142	797101.053
143	795404.4149
144	793818.1954
145	792372.56
146	790800.6493
147	788694.2692
148	787156.836
149	786271.7285
150	784664.0153
151	783328.3244
152	781813.1775
153	780815.3886
154	779696.4905
155	778409.8619
156	777226.0491
157	776013.9413
158	775184.7276
159	774117.65
160	773220.9962
161	772157.6264
162	770832.8304
163	769652.028
164	768568.4343
165	767581.6091
166	766700.9223
167	765572.845
168	764126.7418
169	762846.5279
170	761801.8225
171	760438.0469
172	759162.8665
173	757965.255
174	756546.5206
175	755675.4582
176	755026.436
177	754261.0775
178	753463.3524
179	752805.7669
180	751612.1971
181	750736.831
182	749342.47
183	748453.1746
184	747323.954
185	746518.0337
