iter	MAE
0	1426183.128
1	1092532.251
2	938539.5679
3	867313.0005
4	823490.5827
5	797857.6556
6	780697.2066
7	768092.3473
8	747498.1555
9	739206.9947
10	725454.7448
11	720670.9804
12	712561.7539
13	705071.5953
14	696571.0504
15	688297.4801
16	668104.8344
17	658587.3494
18	655941.0279
19	651708.6929
20	648377.3893
21	639617.9533
22	635194.0927
23	630190.1438
24	628621.1543
25	627233.7557
26	626114.2702
27	623659.2362
28	620309.4871
29	618309.9644
30	613804.8494
31	611022.9668
32	607733.441
33	607083.7923
34	605330.9105
35	602640.3776
36	601510.303
37	599251.6595
38	596607.7341
39	594142.1222
40	592696.7427
41	591150.6181
42	586260.9869
43	582900.1429
44	579803.7575
45	577819.9496
46	576852.4426
47	574981.1771
48	573370.9302
49	571558.3437
50	570941.7971
51	568265.9426
52	566576.9166
53	563984.453
54	562971.9612
55	559702.6463
56	557716.4178
57	557064.62
58	555925.7719
59	554079.2237
60	553522.6502
61	552948.688
62	552338.6941
63	551328.5298
64	550495.1385
65	549837.679
66	548973.718
67	548174.3678
68	546854.4252
69	546185.5287
70	544521.3238
71	542847.4589
72	541700.6464
73	540570.8234
74	539202.2669
75	538096.5491
76	537090.3325
77	536109.5525
78	535308.0486
79	533962.3951
80	533003.2442
81	532038.508
82	530902.4965
83	529364.6827
84	528522.8996
85	527437.8954
86	526784.8825
87	526195.349
88	525213.7868
89	524528.7919
90	523052.0404
91	522799.0882
92	522107.8414
93	521228.9849
94	520855.3625
95	519369.3827
96	519093.7855
97	518400.8722
98	517217.688
99	516538.7328
100	515061.7285
101	514613.8859
102	514037.0243
103	513235.6196
104	512341.3346
105	511863.3189
106	511098.9217
107	510450.6002
108	509994.4336
109	509065.5836
110	508631.343
111	508229.9774
112	507777.6794
113	507491.7281
114	507214.0512
115	506732.3822
116	506450.6236
117	505511.1332
118	504999.8624
119	504718.8953
120	504366.9617
121	503891.8404
122	503504.2895
123	502370.7163
124	500968.0836
125	500512.1213
126	500035.9929
127	499646.2959
128	499193.9135
129	498633.1607
130	498183.8532
131	497626.7912
132	496635.9157
133	495858.2913
134	495307.1821
135	494719.8404
136	494325.8103
137	493560.7347
138	493388.8467
139	493222.1526
140	492673.7107
141	492468.7944
142	491876.9717
143	491335.2735
144	490797.0443
145	490417.4444
146	490137.5402
147	489799.7328
148	489615.2367
149	489194.4758
150	488596.1408
151	487331.7594
152	487088.7272
153	486873.9388
154	486538.9216
155	486055.7495
156	485658.8512
157	485372.5628
158	484545.7793
159	484288.5994
160	484135.8443
161	483887.9715
162	483683.4477
163	483433.3139
164	483064.8822
165	482780.3806
166	482534.4715
167	481764.5445
168	481574.0241
169	481313.4944
170	480894.0051
171	479931.5789
172	479800.2999
173	479148.9997
174	478583.6178
175	478061.4984
176	477644.969
177	477052.7634
178	476722.3818
179	476168.7358
180	475908.7074
181	475426.4758
182	474846.4265
183	474655.0306
184	474169.8162
185	473935.5151
186	473527.5601
187	473148.6683
188	472908.8861
189	472233.6366
190	471969.7262
191	471609.2038
192	471318.2443
193	471072.6237
194	470322.1588
195	469873.5772
196	469031.3581
197	468592.7739
198	468146.7359
199	467582.0349
200	467449.2246
201	466764.4247
202	466515.5949
203	466331.192
204	466010.9576
205	465648.739
206	465381.6004
207	464487.0969
208	464397.2073
209	464296.4813
210	463734.4719
211	463025.3531
212	462683.473
213	462439.7808
214	462145.1807
215	461499.3199
216	461032.9652
217	460951.1568
218	460505.1449
219	460005.7919
220	458998.2269
221	458642.831
222	458099.1956
223	457827.14
224	457525.7806
225	457265.6394
226	457021.6815
227	456692.4574
228	456558.3221
229	456312.8674
230	455946.0524
231	455456.1025
232	455271.7216
233	454949.7474
234	454619.3992
235	454473.7929
236	454307.8438
237	454229.4134
238	453943.0821
239	453739.4022
240	453494.7558
241	453410.8162
242	453168.2002
243	452919.2592
244	452549.2389
245	452277.8517
246	452044.4084
247	451988.1918
248	451839.3116
249	451501.4641
250	451091.6983
251	450748.802
252	450531.705
253	450468.5287
254	450078.2357
255	449816.6346
256	449368.748
257	449150.8134
258	448787.5511
259	447972.9739
260	447939.7177
261	447860.4947
262	447546.6614
263	447086.1514
264	446793.2165
265	446744.5287
266	446446.214
267	446254.7228
268	446149.8989
269	445506.1295
270	445214.7154
271	445127.1858
272	444780.2097
273	444444.1441
274	444276.4538
275	444135.052
276	443971.5463
277	443824.2895
278	443476.607
279	443387.4784
280	443295.5812
281	442809.5593
282	442609.3591
283	442192.7242
284	442012.795
285	441875.1056
286	441016.3651
287	440789.24
288	440646.2491
289	440552.0905
290	440552.0496
291	440170.5572
292	440125.4693
293	439922.3171
294	439713.5753
295	439129.135
296	439046.4855
297	438981.0011
298	438730.5431
299	438385.5661
300	437938.1162
301	437848.8232
302	437718.7971
303	437570.1702
304	437484.1842
305	437277.048
306	437174.0322
307	437072.6745
308	437001.8578
309	436735.779
310	436437.3303
311	436012.7996
312	435889.6014
313	435723.901
314	435642.9292
315	435641.7424
316	435429.5305
317	435374.2288
318	435165.1072
319	434495.0391
320	434455.62
321	434306.544
322	434167.1907
323	433992.5927
324	433717.6976
325	433519.995
326	433389.374
327	433296.1095
328	432791.3855
329	432627.6314
330	432333.9863
331	432219.0819
332	431904.4616
333	431735.2502
334	431282.7598
335	431080.2793
336	430778.8064
337	430605.4672
338	430468.0363
339	430327.4445
340	429998.5943
341	429973.5807
342	429724.3879
343	429369.7866
344	429236.7194
345	428883.6788
346	428676.9166
347	428393.0654
348	428255.6394
349	428187.5866
350	428040.8846
351	427951.7353
352	427711.3012
353	427373.0847
354	427261.5339
355	427176.266
356	427113.0507
357	426772.4527
358	426717.8017
359	426475.8213
360	426409.9611
361	426325.3012
362	426167.8892
363	426098.3613
364	425801.7274
365	425367.3717
366	425295.9727
367	425053.4559
368	424875.6452
369	424689.0289
370	424016.8623
371	423722.6709
372	423502.8221
373	423046.5701
374	423028.3036
375	422874.4016
376	422855.7672
377	422673.6498
378	422477.0749
379	422331.6326
380	422255.49
