iter	Passed	Remaining
0	62	53655
1	134	57771
2	254	72701
3	317	68010
4	402	68841
5	481	68512
6	574	69987
7	703	74885
8	795	75192
9	862	73329
10	955	73757
11	1024	72388
12	1095	71388
13	1152	69630
14	1247	70277
15	1297	68468
16	1356	67282
17	1442	67481
18	1500	66425
19	1589	66761
20	1692	67623
21	1763	67155
22	1813	65984
23	1922	66966
24	2012	67220
25	2095	67222
26	2180	67262
27	2245	66728
28	2320	66505
29	2432	67294
30	2486	66505
31	2550	66006
32	2613	65496
33	2674	64962
34	2740	64607
35	2789	63842
36	2869	63837
37	2960	64043
38	3040	64002
39	3128	64127
40	3198	63895
41	3272	63728
42	3391	64430
43	3488	64689
44	3602	65253
45	3690	65305
46	3752	64917
47	3811	64474
48	3873	64106
49	3936	63768
50	4002	63494
51	4065	63172
52	4145	63115
53	4221	63016
54	4297	62902
55	4364	62662
56	4411	62148
57	4484	62014
58	4596	62409
59	4692	62564
60	4772	62516
61	4846	62376
62	4943	62540
63	5019	62433
64	5091	62269
65	5172	62221
66	5254	62191
67	5326	62038
68	5398	61890
69	5473	61771
70	5552	61706
71	5633	61655
72	5745	61939
73	5811	61729
74	5875	61493
75	5968	61568
76	6057	61601
77	6109	61254
78	6200	61297
79	6264	61082
80	6362	61192
81	6443	61130
82	6507	60921
83	6577	60764
84	6629	60443
85	6694	60253
86	6773	60182
87	6850	60096
88	6922	59971
89	6966	59605
90	7035	59455
91	7115	59402
92	7184	59253
93	7262	59180
94	7389	59508
95	7461	59383
96	7551	59403
97	7627	59305
98	7680	59041
99	7758	58964
100	7853	59014
101	7928	58922
102	7980	58649
103	8096	58857
104	8230	59180
105	8310	59115
106	8388	59032
107	8467	58962
108	8561	58987
109	8652	58997
110	8770	59184
111	8864	59201
112	8936	59072
113	9014	58988
114	9071	58767
115	9132	58571
116	9197	58407
117	9279	58350
118	9369	58344
119	9425	58123
120	9486	57938
121	9549	57768
122	9624	57665
123	9661	57345
124	9728	57205
125	9843	57342
126	9906	57177
127	9959	56957
128	10033	56856
129	10106	56751
130	10184	56673
131	10253	56549
132	10307	56345
133	10398	56336
134	10495	56366
135	10570	56270
136	10636	56134
137	10706	56016
138	10748	55754
139	10816	55626
140	10883	55499
141	10958	55412
142	11013	55219
143	11085	55118
144	11163	55048
145	11234	54940
146	11298	54801
147	11350	54605
148	11414	54468
149	11490	54387
150	11551	54240
151	11616	54108
152	11672	53937
153	11719	53725
154	11807	53706
155	11882	53622
156	11966	53580
157	12043	53510
158	12118	53426
159	12188	53326
160	12247	53175
161	12331	53130
162	12421	53114
163	12510	53092
164	12569	52943
165	12624	52778
166	12689	52658
167	12768	52595
168	12854	52560
169	12920	52441
170	13011	52427
171	13073	52293
172	13124	52116
173	13186	51989
174	13291	52026
175	13332	51815
176	13419	51783
177	13484	51664
178	13558	51583
179	13624	51468
180	13742	51554
181	13844	51573
182	13917	51488
183	14011	51478
184	14086	51396
185	14142	51246
186	14216	51164
187	14288	51075
188	14341	50917
189	14444	50935
190	14497	50779
191	14560	50659
192	14643	50608
193	14733	50580
194	14826	50561
195	14935	50596
196	15030	50583
197	15122	50562
198	15230	50589
199	15337	50612
200	15420	50556
201	15494	50471
202	15569	50388
203	15649	50322
204	15714	50210
205	15767	50059
206	15845	49986
207	15917	49894
208	16016	49888
209	16102	49839
210	16191	49802
211	16294	49805
212	16364	49708
213	16445	49644
214	16511	49535
215	16570	49405
216	16657	49359
217	16733	49279
218	16801	49176
219	16903	49174
220	16976	49085
221	17051	49004
222	17126	48920
223	17197	48828
224	17259	48709
225	17338	48639
226	17389	48492
227	17469	48424
228	17539	48329
229	17611	48240
230	17685	48157
231	17739	48019
232	17800	47901
233	17901	47891
234	17955	47753
235	18059	47750
236	18114	47616
237	18188	47535
238	18252	47426
239	18321	47329
240	18374	47193
241	18448	47113
242	18553	47110
243	18631	47037
244	18699	46939
245	18774	46861
246	18856	46797
247	18934	46726
248	18994	46609
249	19065	46519
250	19148	46460
251	19239	46418
252	19319	46351
253	19414	46320
254	19489	46240
255	19583	46205
256	19663	46135
257	19724	46023
258	19801	45947
259	19887	45895
260	19937	45755
261	19982	45607
262	20039	45489
263	20155	45501
264	20229	45420
265	20282	45292
266	20395	45298
267	20466	45209
268	20555	45160
269	20622	45063
270	20688	44964
271	20767	44894
272	20880	44897
273	20963	44835
274	21035	44747
275	21129	44709
276	21206	44632
277	21340	44677
278	21412	44589
279	21505	44547
280	21656	44623
281	21715	44508
282	21804	44456
283	21871	44359
284	21948	44281
285	22009	44172
286	22052	44028
287	22114	43922
288	22186	43834
289	22261	43755
290	22312	43628
291	22377	43528
292	22454	43452
293	22525	43366
294	22586	43258
295	22643	43144
